Wed Apr 02 01:40:33 2025

Number of Points = 3836
Depth (nm)	Load (µN)	Time (s)	Disp. Voltage(V)	Force Voltage(V)0.000000	5.968592	0.000000	0.002533	0.435499
9.484471	294.185375	0.290278	0.000237	0.977720
9.533456	299.231231	0.295283	0.000224	0.984498
9.761935	304.185187	0.300288	0.000169	0.991194
9.928994	309.136313	0.305293	0.000129	0.997812
9.891527	314.192296	0.310298	0.000137	1.004427
10.044278	319.148014	0.315302	0.000100	1.010958
10.181184	324.112737	0.320307	0.000067	1.017451
10.465713	329.073178	0.325312	-0.000001	1.023966
10.489850	334.094480	0.330317	-0.000008	1.030397
10.552036	339.092502	0.335322	-0.000023	1.036775
10.593397	344.100000	0.340326	-0.000033	1.043118
10.874822	349.033355	0.345331	-0.000101	1.049438
10.739164	354.115438	0.350336	-0.000069	1.055717
10.993716	359.028115	0.355341	-0.000131	1.061925
11.174455	364.079908	0.360346	-0.000174	1.068234
11.175772	369.083182	0.365350	-0.000175	1.074368
11.270341	374.027490	0.370355	-0.000198	1.080436
11.462287	379.068822	0.375360	-0.000245	1.086630
11.555334	384.005335	0.380365	-0.000267	1.092620
11.568644	389.029159	0.385370	-0.000271	1.098647
11.752964	394.057289	0.390374	-0.000316	1.104720
11.812545	399.029200	0.395379	-0.000330	1.110640
12.062253	403.984008	0.400384	-0.000391	1.116589
12.161672	408.952544	0.405389	-0.000415	1.122459
12.249834	413.984943	0.410394	-0.000436	1.128368
12.340867	418.974493	0.415398	-0.000459	1.134198
12.447843	423.911296	0.420403	-0.000485	1.139944
12.611262	429.022242	0.425408	-0.000524	1.145884
12.676738	433.957290	0.430413	-0.000540	1.151552
12.809157	438.930557	0.435418	-0.000573	1.157263
12.840365	443.961671	0.440422	-0.000580	1.162971
12.956690	448.946969	0.445427	-0.000609	1.168633
13.014151	453.948012	0.450432	-0.000623	1.174263
13.012122	458.929717	0.455437	-0.000623	1.179819
13.064365	464.077152	0.460442	-0.000636	1.185556
13.282466	468.954874	0.465446	-0.000689	1.191032
13.396668	473.946289	0.470451	-0.000716	1.196568
13.701594	478.864174	0.475456	-0.000790	1.202072
13.708599	483.929700	0.480461	-0.000792	1.207596
13.713409	488.930343	0.485466	-0.000794	1.213023
13.798289	493.892629	0.490470	-0.000814	1.218416
13.945387	498.973074	0.495475	-0.000850	1.223935
14.000309	503.959836	0.500480	-0.000864	1.229295
14.209522	508.929377	0.505485	-0.000914	1.234671
14.234559	513.871869	0.510490	-0.000921	1.239926
14.413509	518.945607	0.515494	-0.000964	1.245355
14.330217	523.944444	0.520499	-0.000944	1.250584
14.592832	528.900997	0.525504	-0.001008	1.255875
14.747486	533.853145	0.530509	-0.001045	1.261100
14.782135	538.963554	0.535514	-0.001054	1.266423
14.887552	543.911908	0.540518	-0.001080	1.271582
14.792728	548.959422	0.545523	-0.001058	1.276749
14.984500	553.934626	0.550528	-0.001104	1.281925
15.077848	558.956611	0.555533	-0.001127	1.287093
15.224276	563.909052	0.560538	-0.001162	1.292189
15.404348	568.854276	0.565542	-0.001206	1.297269
15.319353	573.951142	0.570547	-0.001186	1.302387
15.550474	578.911796	0.575552	-0.001242	1.307462
15.696276	583.843551	0.580557	-0.001277	1.312457
15.728703	588.823982	0.585562	-0.001285	1.317442
15.878192	593.847096	0.590566	-0.001321	1.322491
15.885983	598.851773	0.595571	-0.001324	1.327454
16.039916	603.830291	0.600576	-0.001361	1.332423
16.119519	608.790320	0.605581	-0.001381	1.337330
16.249994	613.845825	0.610586	-0.001412	1.342330
16.236987	618.892637	0.615590	-0.001410	1.347253
16.521963	623.798257	0.620595	-0.001478	1.352123
16.455913	628.833697	0.625600	-0.001463	1.356982
16.748476	633.771691	0.630605	-0.001533	1.361851
16.693007	638.833539	0.635610	-0.001521	1.366704
16.962266	643.760034	0.640614	-0.001586	1.371520
16.890080	648.785830	0.645619	-0.001569	1.376299
16.941024	653.834479	0.650624	-0.001581	1.381124
17.089092	658.879996	0.655629	-0.001617	1.385962
17.097491	663.870459	0.660634	-0.001620	1.390685
17.253879	668.847781	0.665638	-0.001658	1.395428
17.373158	673.784991	0.670643	-0.001687	1.400105
17.444175	678.900942	0.675648	-0.001704	1.404918
17.562215	683.802238	0.680653	-0.001733	1.409530
17.646771	688.831808	0.685658	-0.001754	1.414235
17.610598	693.796906	0.690662	-0.001745	1.418826
17.752135	698.949380	0.695667	-0.001780	1.423632
17.908199	703.842310	0.700672	-0.001818	1.428188
17.838973	708.927664	0.705677	-0.001801	1.432833
18.014617	713.828755	0.710682	-0.001844	1.437373
18.199907	718.862380	0.715686	-0.001889	1.442024
18.284374	723.849150	0.720691	-0.001909	1.446584
18.363555	728.846916	0.725696	-0.001929	1.451138
18.419647	733.816536	0.730701	-0.001943	1.455645
18.473323	738.865689	0.735706	-0.001956	1.460209
18.710550	743.916482	0.740710	-0.002013	1.464819
18.709459	748.856292	0.745715	-0.002014	1.469239
18.768942	753.900257	0.750720	-0.002028	1.473758
18.870117	758.799792	0.755725	-0.002053	1.478148
18.895078	763.956401	0.760730	-0.002059	1.482729
19.043028	768.858945	0.765734	-0.002095	1.487110
19.169652	773.843217	0.770739	-0.002126	1.491543
19.187001	778.853264	0.775744	-0.002131	1.495952
19.404097	783.827153	0.780749	-0.002183	1.500377
