Wed Apr 02 00:27:14 2025


Number of Points = 4490

Depth (nm)	Load (µN)	Time (s)	Disp. Voltage(V)	Force Voltage(V)
22.836567	979.075826	0.975936	-0.002984	1.659415
22.809017	984.236372	0.980941	-0.002977	1.663486
23.068918	989.089856	0.985946	-0.003040	1.667384
22.871590	994.233213	0.990950	-0.002993	1.671376
22.994777	999.158765	0.995955	-0.003022	1.675275
23.045413	1004.175441	1.000960	-0.003035	1.679216
23.282790	1009.223001	1.005965	-0.003091	1.683223
23.272463	1014.158054	1.010970	-0.003089	1.687066
23.268910	1019.220605	1.015974	-0.003088	1.691000
23.229341	1024.234016	1.020979	-0.003079	1.694879
23.445224	1029.209087	1.025984	-0.003131	1.698786
23.537888	1034.368394	1.030989	-0.003153	1.702794
23.697895	1039.223847	1.035994	-0.003192	1.706577
23.772193	1044.275043	1.040998	-0.003209	1.710479
23.781116	1049.260473	1.046003	-0.003212	1.714304
23.850183	1054.216980	1.051008	-0.003228	1.718115
24.045978	1059.322393	1.056013	-0.003275	1.722064
24.201684	1064.198485	1.061018	-0.003313	1.725818
24.114500	1069.282206	1.066022	-0.003292	1.729659
24.200298	1074.279261	1.071027	-0.003313	1.733471
24.388372	1079.168901	1.076032	-0.003358	1.737220
24.440574	1084.373123	1.081037	-0.003370	1.741163
24.549929	1089.304518	1.086042	-0.003397	1.744906
24.504624	1094.333884	1.091046	-0.003386	1.748675
24.645266	1099.355387	1.096051	-0.003420	1.752478
24.678607	1104.259532	1.101056	-0.003428	1.756157
24.713538	1109.418011	1.106061	-0.003436	1.760019
24.954217	1114.346614	1.111066	-0.003494	1.763753
24.931770	1119.302317	1.116070	-0.003489	1.767433
25.199631	1124.296501	1.121075	-0.003553	1.771208
25.131168	1129.272171	1.126080	-0.003537	1.774875
25.168633	1134.379833	1.131085	-0.003546	1.778659
25.305626	1139.501096	1.136090	-0.003579	1.782471
25.307941	1144.376840	1.141094	-0.003580	1.786059
25.400121	1149.427687	1.146099	-0.003602	1.789792
25.598284	1154.357738	1.151104	-0.003649	1.793455
25.761878	1159.256217	1.156109	-0.003689	1.797078
25.724059	1164.493015	1.161114	-0.003680	1.800891
25.756794	1169.419525	1.166118	-0.003688	1.804488
25.949849	1174.351836	1.171123	-0.003734	1.808121
25.968758	1179.402392	1.176128	-0.003739	1.811790
25.955202	1184.328790	1.181133	-0.003735	1.815353
26.062842	1189.467782	1.186138	-0.003761	1.819093
26.172935	1194.531463	1.191142	-0.003788	1.822771
26.155722	1199.478505	1.196147	-0.003784	1.826327
26.185327	1204.505417	1.201152	-0.003791	1.829945
26.384393	1209.440539	1.206157	-0.003839	1.833531
26.510455	1214.404816	1.211162	-0.003869	1.837113
26.664298	1219.525282	1.216166	-0.003906	1.840806
26.603410	1224.495244	1.221171	-0.003892	1.844333
26.676404	1229.500905	1.226176	-0.003909	1.847911
26.674326	1234.556512	1.231181	-0.003909	1.851499
26.753816	1239.441041	1.236186	-0.003928	1.854979
26.865573	1244.583276	1.241190	-0.003955	1.858642
26.980667	1249.673750	1.246195	-0.003983	1.862262
26.930063	1254.597604	1.251200	-0.003971	1.865719
27.192631	1259.595992	1.256205	-0.004034	1.869295
27.254454	1264.592773	1.261210	-0.004048	1.872817
27.268017	1269.526763	1.266214	-0.004052	1.876276
27.353581	1274.683779	1.271219	-0.004072	1.879901
27.504608	1279.612888	1.276224	-0.004109	1.883376
27.633846	1284.548043	1.281229	-0.004140	1.886844
27.549416	1289.653447	1.286234	-0.004120	1.890374
27.682081	1294.559814	1.291238	-0.004152	1.893810
27.773021	1299.615126	1.296243	-0.004173	1.897332
27.917880	1304.772934	1.301248	-0.004208	1.900932
27.864279	1309.671952	1.306253	-0.004196	1.904300
28.056730	1314.663469	1.311258	-0.004242	1.907783
27.963376	1319.741808	1.316262	-0.004220	1.911254
28.146258	1324.612335	1.321267	-0.004263	1.914639
28.278071	1329.708331	1.326272	-0.004295	1.918161
28.330485	1334.788633	1.331277	-0.004308	1.921647
28.458153	1339.678536	1.336282	-0.004338	1.925014
28.442503	1344.710517	1.341286	-0.004335	1.928440
28.419927	1349.783152	1.346291	-0.004330	1.931885
28.525591	1354.668796	1.351296	-0.004355	1.935227
28.673323	1359.808611	1.356301	-0.004391	1.938745
28.983294	1364.762881	1.361306	-0.004465	1.942167
29.005757	1369.650652	1.366310	-0.004470	1.945474
29.035990	1374.741088	1.371315	-0.004478	1.948913
29.092080	1379.723027	1.376320	-0.004491	1.952279
29.148546	1384.613047	1.381325	-0.004505	1.955577
29.192195	1389.796759	1.386330	-0.004515	1.959064
29.195693	1394.801591	1.391334	-0.004516	1.962416
29.354261	1399.703079	1.396339	-0.004554	1.965728
29.335655	1404.798115	1.401344	-0.004550	1.969124
29.627610	1409.678126	1.406349	-0.004620	1.972440
29.577730	1414.682609	1.411354	-0.004608	1.975758
29.617030	1419.935581	1.416358	-0.004618	1.979254
29.862639	1424.803053	1.421363	-0.004677	1.982534
29.916994	1429.747765	1.426368	-0.004690	1.985818
29.930703	1434.813341	1.431373	-0.004693	1.989168
30.158984	1439.723814	1.436378	-0.004748	1.992456
30.167611	1444.694161	1.441382	-0.004750	1.995730
30.240809	1449.909998	1.446387	-0.004768	1.999175
30.379580	1454.823325	1.451392	-0.004801	2.002429
30.444649	1459.772137	1.456397	-0.004817	2.005685
30.463842	1464.853690	1.461402	-0.004822	2.009013
30.569745	1469.753850	1.466406	-0.004847	2.012236
30.560295	1474.749400	1.471411	-0.004845	2.015491
30.702037	1479.989143	1.476416	-0.004879	2.018931
30.851701	1484.923234	1.481421	-0.004915	2.022170
30.995322	1489.831719	1.486426	-0.004950	2.025385
31.045992	1494.895688	1.491430	-0.004962	2.028676
31.057477	1499.899499	1.496435	-0.004965	2.031914
31.087979	1504.830472	1.501440	-0.004972	2.035104
31.164130	1510.018238	1.506445	-0.004990	2.038464
31.318669	1514.961449	1.511450	-0.005028	2.041678
31.275562	1519.872491	1.516454	-0.005017	2.044825
31.428570	1524.913896	1.521459	-0.005054	2.048091
31.537109	1529.919158	1.526464	-0.005080	2.051320
31.454505	1534.861737	1.531469	-0.005061	2.054464
31.618667	1540.045608	1.536474	-0.005100	2.057808
31.621341	1545.140936	1.541478	-0.005101	2.061057
31.713353	1550.007414	1.546483	-0.005123	2.064174
31.832103	1555.044300	1.551488	-0.005151	2.067400
31.909526	1560.055023	1.556493	-0.005170	2.070595
32.068530	1564.899193	1.561498	-0.005208	2.073698
32.025246	1570.050045	1.566502	-0.005198	2.076947
32.090862	1575.159926	1.571507	-0.005214	2.080188
32.233357	1580.020154	1.576512	-0.005248	2.083283
32.311107	1585.043736	1.581517	-0.005267	2.086462
32.294580	1590.119491	1.586522	-0.005263	2.089650
32.348737	1595.040629	1.591526	-0.005276	2.092751
32.459416	1600.103769	1.596531	-0.005303	2.095948
32.498977	1605.329636	1.601536	-0.005312	2.099226
32.489480	1610.226621	1.606541	-0.005310	2.102285
32.623102	1615.180586	1.611546	-0.005342	2.105403
32.648528	1620.217134	1.616550	-0.005349	2.108547
32.696543	1625.193795	1.621555	-0.005360	2.111653
32.785995	1630.128517	1.626560	-0.005382	2.114737
33.040012	1635.249462	1.631565	-0.005443	2.117965
33.108081	1640.263339	1.636570	-0.005459	2.121084
33.058482	1645.186571	1.641574	-0.005447	2.124119
33.174716	1650.230930	1.646579	-0.005475	2.127258
33.299276	1655.259329	1.651584	-0.005505	2.130384
33.305507	1660.109186	1.656589	-0.005507	2.133372
33.453667	1665.256755	1.661594	-0.005542	2.136567
33.473463	1670.402218	1.666598	-0.005547	2.139730
33.645080	1675.247840	1.671603	-0.005588	2.142736
33.564068	1680.330660	1.676608	-0.005569	2.145831
